home_team,away_team,home_odds,away_odds,draw_odds
Chicago Blackhawks,Buffalo Sabres,3.35,1.96,4.65
Anaheim Ducks,St. Louis Blues,2.45,2.5,4.5
Florida Panthers,Edmonton Oilers,2.38,2.55,4.65
Tampa Bay Lightning,Boston Bruins,2.9,2.16,4.45
Dallas Stars,NY Rangers,2.38,2.8,4.5
Nashville Predators,Colorado Avalanche,3.2,2.0,4.4
Arizona Coyotes,Los Angeles Kings,3.0,2.07,4.6
Seattle Kraken,Calgary Flames,2.38,2.55,4.45
Vancouver Canucks,San Jose Sharks,1.46,5.75,5.75
Carolina Hurricanes,Edmonton Oilers,2.1,2.95,4.6
Columbus Blue Jackets,Chicago Blackhawks,2.15,2.9,4.45
Detroit Red Wings,New Jersey Devils,3.0,2.04,4.65
Florida Panthers,Boston Bruins,2.51,2.61,4.5
Pittsburgh Penguins,NY Rangers,2.35,2.55,4.5
Tampa Bay Lightning,Winnipeg Jets,2.5,2.43,4.4
Washington Capitals,Buffalo Sabres,2.25,2.7,4.4
NY Islanders,Philadelphia Flyers,2.06,3.15,4.4
Arizona Coyotes,St. Louis Blues,2.36,2.6,4.33
Nashville Predators,Calgary Flames,2.5,2.48,4.3
Dallas Stars,Vegas Golden Knights,2.23,2.8,4.3
Seattle Kraken,San Jose Sharks,1.6,5.0,4.95
Colorado Avalanche,Vancouver Canucks,1.97,3.3,4.5
Anaheim Ducks,Montreal Canadiens,2.3,2.65,4.35
Boston Bruins,Detroit Red Wings,1.84,3.58,4.7
Philadelphia Flyers,NY Rangers,3.05,2.07,4.4
Chicago Blackhawks,Toronto Maple Leafs,4.33,1.76,5.05
St. Louis Blues,Nashville Predators,2.4,2.85,4.45
New Jersey Devils,Columbus Blue Jackets,1.67,4.25,5.05
Washington Capitals,Edmonton Oilers,2.85,2.45,4.65
Anaheim Ducks,Los Angeles Kings,3.6,1.97,4.7
San Jose Sharks,Montreal Canadiens,2.85,2.33,4.5
Buffalo Sabres,Pittsburgh Penguins,2.55,2.5,4.6
Ottawa Senators,NY Islanders,2.38,2.75,4.5
Carolina Hurricanes,Tampa Bay Lightning,1.98,3.2,4.55
Florida Panthers,Winnipeg Jets,2.1,2.95,4.6
Dallas Stars,Calgary Flames,1.91,3.35,4.6
Minnesota Wild,Colorado Avalanche,2.83,2.31,4.6
Seattle Kraken,Vancouver Canucks,2.47,2.5,4.6
NY Rangers,Boston Bruins,2.71,2.45,4.4
Los Angeles Kings,Montreal Canadiens,1.6,4.5,5.4
New Jersey Devils,Buffalo Sabres,1.85,3.45,4.85
Pittsburgh Penguins,Toronto Maple Leafs,2.63,2.29,4.6
NY Islanders,Philadelphia Flyers,2.04,3.0,4.5
San Jose Sharks,Vancouver Canucks,4.5,1.58,5.15
